pilot,records,peaks
Johannes Juri,11,Velika Ponca;Kotova špica;Monte Termine / V Koncu špica;Veunza / Vevnica;Rombon;Bielschitza/Svačica;Rosenkogel / Hruški vrh;Veliki vrh;Steinberg / Kamnati vrh;Nizka Bavha;Peč / Ofen / Monte Forno
Roman Zechner,6,Mangart;Rateški Mali Mangart / Piccolo Mangart;Travnik / Mt. Traunig;Mittagskogel / Kepa;Schwarzkogel / Kresišče;Petelinjek / Hahnenwipfel
David Hasko,5,Zelena glava;Košutnikov turn / Koschutnikturm;Weinasch / Vajnež;Ostrv / Kainradlturm;Veliki vrh / Hochturm
Igor Kremsar,4,Vellacherturm;Ledinski vrh;Veliki vrh;Bašeljski vrh
Loris Filippini,4,Kanin / Canin;Ponza Grande / Visoka Ponca;Ponza di Mezzo / Srednja Ponca;Dovška Baba / Frauenkogel
Manfred Marte,4,Križnik;Končnikov vrh/Knieps;Govca (Olševa);Freiberg
Alberto Dal Maso,3,Krn;Šija;Mali Zvoh
Andrej Erznožnik,3,Stari vrh;Mariborsko Pohorje;Bellevue
Frank Spurfeld,3,Stol;Mrzli vrh;Srednji vrh
Thomas Paradealer,3,Mahavšček;Vrh Ovčje planje;Velika Montura
Andrej Erznoznik,2,Goljak;Velika Slivnica
Dawid Kopiczko,2,Vogel;Vrh Krnic
Ferdinand Van schelven,2,Rdeča skala;Mali vrh
Francesco Bianchessi,2,Slatnik;Kor
Gixn Fly,2,Krasji vrh;Mali vrh
Gottfried Kaschnig,2,Kordeževa glava;Golica/Kahlkogel
Ivan Romic,2,Vrh Škrbinice;Kota 1776
John Martina Pradeis,2,Mali Kanin / Canin basso;Begunjski vrh
Juraj Koreň,2,Možic;Na Vratcih
Lisa Bauer,2,Kleiner Mittagskogel / Koroška Mala Kepa;Vršanja glava
Marko Kejžar,2,Blegoš;Špik
Poje Jože,2,Ovčji vršič;Kuk
Stanislav Třebeška,2,Selovec;Veliki rob
Stefan Sliz,2,Črna Prst;Rušni vrh
Stefan Taxer,2,Hochstuhl / Stol;Mali Stol
Uros Bergant,2,Kontni vrh;Oltar
pavol sliva,2,Nad Ohojami;Nizki vrh
ALESSANDRO PERUZZI,1,Matajur
Ahmed Ezzat,1,Kendov vrh
Anze Pristov,1,Breška gora
Arduino Persello,1,Dravh
Balazs Racz,1,Gladki vrh
Boris Kováčik,1,Čukla
Botond Szakács,1,Pršivec
Boštjan Sodja,1,Storeč vrh
Bryan Moore,1,Vrh Planje
Christian Furrer,1,Vrh Lipnika
Csaba Baczo,1,Visoka špica / Cima alta di Valromana
Csaba Luczy,1,Kopa
Daniel Valsesia,1,Zavitar
Erich Edlinger,1,Stador
Flurin Räber,1,Veliki Zvoh
Fons de Leeuw,1,Kobla
Gabriella Csuháné Szabó,1,Požeg
Giovanni Negro,1,Gorenji Krivi rob
Gottfried Putzl,1,Mali Stol
Gábor Dobi,1,Gradišče (Njivica)
Igor Okorn,1,Triglav
István Pál,1,Jesenovec
Jakub Mendys,1,Galetovec
Jan Folbrecht,1,Brlogi
Jan Soukup,1,Gnjilica
Jernej Bodlaj,1,Lajnar
Jernej Juvan,1,Partizanski vrh
Jindra Sedlacek,1,Visoč vrh
Jirka T,1,Kopa
Jodi Kelt,1,Starijski vrh
Jost Napret,1,Krvavec
Jozef Poje,1,Tolsti vrh
Jure Kurnik,1,Kriška gora
Leopold Stepan,1,Veliki Muzec
Lino Dani,1,Velki Matajurski vrh
Manfred Tichy,1,Kunik
Marcel Jurec,1,Jančerijski vrh
Michael Grünebach,1,Ponza Piccola / Mala Ponca
Michael Paller,1,Musec
Milan Kameníček,1,Šance
Mitja Jancic,1,Mrzlica
Mitja Jug,1,Uršlja gora
Nejc Okorn,1,Kredarica
Nicolas Manthos,1,Kožljak
Oliver Ogris,1,Kofce gora / Hüttenberg
Paolo Miani,1,Ruta
Paulius Jonaitis,1,Kozjek
Peter Feichtinger,1,Mali Muzec
Peter Krkoc,1,Pleša
Peter Šimek,1,Batognica
Petr Hanka,1,Slatnik
Petr Privara,1,Kalec
Pius Josef,1,Raduha
Primoz Susa,1,Viženski vrh
Przemek Wrzosek,1,"Viewpoint  ""Orlove Glave"""
Pál Tarpataki,1,Držetina
Richard Fritz,1,Na Vrhu
Rostislav Vondra,1,Vratca
Sarah Zimmermann,1,Grdi vršič
Saulius Sinkunas,1,Grmuč
Sebastjan Podbregar,1,Medvedjak
Slavomír Adamec,1,Vrh Osojnic
Szabolcs Köteles,1,Mali vrh
Tamás Szépe,1,Gradišče
Tim Rutten,1,Kucelj
Timo Rutten,1,Grmada
Tobias Schädel,1,Krikov vrh
Tomaz Erzen,1,Bela peč (Podbliška gora)
Tzak Garnett Leevers,1,Woschza / Vošca
Viera Schwery Stieberova,1,Kobilja glava
Vlastimil Klikar,1,Jalovnik
Zdravko Kumer,1,Podkrški vrh
gerhard Scheffknecht,1,Glava
manuel wolfesberger,1,Vodel
marco rugo,1,Srednji vrh
marko petschnig,1,Goli vrh
simon oberrauner,1,Mrzli vrh
