pilot,records,peaks
Thomas Conzett,15,Pizzo di Cassimoi;Cima di Aquila;Piz Dora;Piz Urtiola;Piz Terza;Vrenelisgärtli;Piz Praveder;Piz Riein;Gufelstock;Altmann;Muntaluna;Fliskopf;Brisi;Leistchamm;Chüemettler
Petzi ;-),14,Mont Vélan;Pigne de la Lé;Pointe du Vasevay;Rosablanche;Haute Cime;Le Doigt;Pointe du Tsaté;Le Fou;Le Catogne;Dent de Bonavau;Tête de la Payanne;Tête des Verdets;Tour de Mayen;Rochers de Chaudin
Christoph Fässler,13,Wildi Frau;Krönten;Grassen;Tschuggen;Chronenstock;Blüemberg;Gross Spitzen;Pizzo Peloso;Birehubel;Laucherenstöckli;Rigi Hochflue;Forcarella;Chli Aubrig
KÜRTU🇨🇭 HÄNNI,12,Augstbordhorn;Gantrisch;Hohgant;Schafmatt;Walalpgrat;Schimbrig;Hengst;Beichle;Rotefluespitz;Hengst;Grand Mont;Howacht
Rolf Erhardt,12,Schwarzhorn;Piz Alvra;Tschimas Da Tisch;Sandhubel;Muntischè;Fulhorn;Fulbergegg;Chüenihorn;Rot Spitz;Kreuzberg VIII;Leuggelenstock;Yenstock
Mihai Martalogu,9,Furkastock;Chlis Fülhorn;Wyssi Flue;Wistätthorn;Schwalmis;Mont d'Or;Tsermon;Mont Tendre;Stouffe
Chrigel Maurer,8,P. 3405;Piz Chavalatsch;Il Pizzaccio;Lauberhorn;Niesen;Biet;Barschwandhubel;Barschwandhubel
Adrian Lutz,7,Tälligrat;Piz Toissa;Lobhörner;Chistenstein;Widderfeldstock;Madchopf;Vorstegg
Bruno Bohren,7,Gemsstock;Geschinerstock;Schächentaler Windgällen;Märcher Stöckli;Cima d'Erbea Orientale;Sunniggratli;Dirrengrind
Jerry Berchtold,7,Rottalhorn;Petite Dent de Morcles;Le Luisin;Pas de Chavanette;Point de l'Au;Crête de Chaux Commun;Bec du Corbeau
Kim Rehberg,7,Munt Baselgia;Piz Zamuor;Pizzo di Nara;Wart;Stockberg;Grappenhorn;Gössigenhöchi
Laurent Borella,7,Testa Grigia;Trubelstock;Wisshore;Mont Loéré;Mont Rouge;Tête des Etablons;Motto dei Ciapitt
Martin Zettler,7,Arpelistock;Scex Rouge;Niesehorn;Wittenberghorn;Le Rubli;Wannehörli;Les Rodomonts
Alexandre Caillet-Bois,6,Chaux d'Antème;Croix de l'Hiver;Grande Conche;Dent de Valerette;signal de soi;Collines des Crosets
Frank Schaufuss,6,Bettmergrat;Mottone di Cava;Pizzo Alzasca;Höchgrat;Cima di Visghéd;Salistock
Martin Bühler,6,Sassauna;Twärchamm;P.2256;Selun;Hohe Winde;Rotmattchopf
Michel Berset,6,Pigne d'Arolla;Pointe de la Plaine Morte;Tubang;Jägerchrüz;Munt da la Bês-cha;Mont Lachaux
Nico Mauri,6,Cima di Gana Rossa;Pizzo Varozzeira;Poncione di Nara;Punta delle Loite;Mottone;Flueseehöri
Nicolas Bourqui,6,Allalinhorn;Grande Dent de Morcles;Tristencholben;Wängihorn;Almenegg;Charenstöckli
Peter Haltiner,6,Muot da l'Hom;Schlösslichopf;Gir;Margelchopf;Kleiner Gir;Chapf
Tobias Dütschler,6,Chilchhorn;Madone Grosso;Monte Zucchero;Sosto;Cima di Medeglia;Motto Rotondo
Umbricht Fabian,6,Spalihorn;Brisen;Hindere Spitz;Vordere Spitz;Mittaggüpfi;Montaigu
Vincent Vuille,6,Gross Kärpf;Chli Kärpf;Steingässler;Schibe;Monte Fumadiga;Madonnetto
stefan hollenstein,6,Piz Platta;Wissensteinhorn-Piz Tomül;Haldensteiner Calanda;Scheienfluh;Hohbüel;Taminser Calanda
Christian Erne,5,Standhore;Ziger;Kronberg;Hummel;Schnebelhorn
Marc Fragnière,5,Rottalhorn;Munt Pers;Vanil Carré;Les Millets;Les Millets (Sommet ouest)
Markus Egli,5,Ruchi;P.2860;Schilt;Tristli;Tierberg
Michael Grünebach,5,Strahlhorn;Breithorn Centrale;Combin de la Tsessette;Pointe Marguerite / Punta Margherita;Dürrenhorn
Ozo Ginonski,5,Rothorn;Cruit;Pizzo Fedora;Pizzit;Cardada
Reto Compagnoni,5,Pizzo Barone;Spitzhorli;Pizzo di Claro / Visagno;Pianca;Poncione d'Alnasca
Thomas Amrhein,5,Gross Hohmad;Türmli;Tannenschild;Bonistock;Hohmad
Tiziano Di Pietro,5,Weissfluhjoch;Cima dell'Uomo;Madone;Camoghè;Piz di Renten
erich limacher,5,Stäfeliflue;Ochs;Turner;Bock;Bärgli
laurent monneron,5,Dent Blanche;Pointe de Bricolla;Omen Roso;Salariel;Les Coursis
michael witschi,5,Dufourspitze;Dunantspitze;Grenzgipfel;Eggishorn;Schyeggstock
pädi von wyl,5,Höh Grat;Arvidossen;Totenplangg;Lecki Dossen;Ankenhubel
werner messerschmidt,5,Piz Surlej;Mont Gelé;Schafberg;Garvers dil Tgom;Stein
Adrian Vogel,4,Brätterstock;Schübelsmoosegg;Sidemoosflue;Chnubeli
Alex Leoni,4,Breithorn;Il Pizzet;Monte Generoso;Monte Boglia
Antoine Wicki,4,L'Epaule du Rothorn;Blanc de Moming;Dôme;Crêt du Midi
Benedikt Braun,4,Gemmenalphorn;Schilt;Chrattenflue;Wannenflue
Bernhard Senn,4,Bütlasse;Bunderspitz;Gibidum;Schibenspitz
Boris Smolinski,4,Piz Mezdi;Marchstöckli;Hängst;Bockmattlistock
Bruno Giulini,4,Piz Lunghin;Monte Marmontana;Cima di Fiorina;Regagno
Davide Cattaneo,4,Piz di Rüss - Cima Croce;Piz de Martum;Cadolcia;Sasso Guidà
Dominik Dusek,4,Hinter Eggstock;Mittler Eggstock;Furggenguetsch;Le Van
Dorian Copt,4,Attelas;Tête de Ferret;La Dotse;La Breya
Gavin McClurg,4,Rotstock;Pizzo Gandaiole;Gaggio;Hoch Chopf
Janine Sägesser,4,Mittaghorn;Mörderhoren;Brüschbüchel;Wannespitzli
Jean-Marcel Grillet-Aubert,4,Tête de Linga;Haut Sex;Aiguille de Braitaz;La Truche
Joel Fuchs,4,Breithorn Occidentale / Westgipfel;Gobba di Rollin;Les Diablons;Sommet Nord (Les Diablons)
Julian Dänzer,4,Jungfrau;Foggenhorn;Oltschiburg;Schafarnisch
Jörg Bonderer,4,Glatten;Girenspitz;Höchstelli;Bachtel
Lars Meerstetter,4,Inners Barrhorn;Planplatten;Gibel;Chline Gibel
Manuel Waldburger,4,Alphubel;Gwächtenhorn;Pecian;Laaglehore
Michael Küffer,4,Weissmies;Schafbärg;Kistenstöckli;Gletscherchopf
Michi Müller,4,Piz Trovat;Jatzhorn;Fil;Leitereggstogg
Oliver Keller,4,Drunegalm;Triesthore;Türstehäuptli;Zottone
Olivier Anken,4,Bellavista Mittelgipfel Ost;Läckistock;Gamperstock;Husegg
Peter Käch,4,Piz Lagalb;Muottas Muragl;Günhorn;Chamben
Peter Schmutz,4,Aff;Pfaffli;Stand;Stäckhütteghürn
Peter Waldner,4,Chilchflüh;Chörbsch Horn;Abgschütz;L'Aiguille
Philipp Rothenbühler,4,Piz di Campedell;Pizzo dell'Uomo;Pizzo d'Era;Pizzo d’Orgnana
Pierre-Julien Jouve,4,Pointe de Chamois;Pointe de la Crête du Plan;Clocher de Bertol;Chaulet
Pius Betschart,4,Firsthöreli;Pfaff;Mattner First;Brünnelistock
Roli F.,4,Spitzmeilen;Chalchstöckli;Wissmeilen;Rietstöckli
Thomas Kalbermatter,4,Ergischalphorn;Grosses Fülhorn;Emshorn;Heruhubel
Urs Lengweiler,4,Höch Gumme;Gros Van;Arnifirst;Hohliecht
Urs Nadler,4,Bishorn;Punta Burnaby;Alvier;Schartihöreli
Werner Jacober,4,Gämsfairenstock;Rautispitz;Chrüz;Hirzli
renzo zanotta,4,Sasso Bianco;Cima di Sassalto;Cima della Piancaccia;Motto di Cima
yves leu,4,Curvér Pintg da Taspegn;Rosschopf;Ankehubel;Dürstelberg
Alain Favre,3,Leist;Sächsmoor;Breitmantel
Archibald Muck,3,Foostöckli;Schafleger;Speer
Basilio Caneva,3,Pizzo Campo Tencia;Fünffingerstöck;Schluchigrat
Beat Sägesser,3,Stanserhorn;Cimetta;Lo Stallone
Beat Walker,3,Ortstock;Bälmeten;Spilauerstock
Bernhard Benguerel,3,Hochstollen;Tomlishorn;Selispitz
Bernhard Friedli 🐻,3,Tête de Fonteinte;Tête de Ferret;Wätterlatte
Bernhard Staub,3,Sattelhorn;Gemsflue;Motto Rotondo
Bertrand Cina,3,Fenêtre de la Cassorte;Monts Chevreuils;La Chuantse
Christian Leutwiler,3,La Pare;Rotisegg;Laupersdorfer Stierenberg
Christian Schader,3,Rätschenhorn;Horntube;Schülberg
Christian Waibel,3,Gubihubel;Chilchli;Mont Bifé
Christof Wenger,3,Bürgle;Zigerhubel;Burgbüel
Claudio Cattaneo,3,Pizzo Rossetto;Monte Lema;Monte Magino
Daniel Schmitt,3,Leeshörner;Gross Aubrig;Rigi Scheidegg
Danilo Bargen,3,Foostock;Wändlispitz;Habrütispitz
David FerrerLlanes,3,Aermighorn;Zenjiflue;Ochsen
David Jenny,3,Piz Griatschouls;Piz Arpiglia;Munt Seja
Felix Aegerter,3,Wildstrubel;Wandflue;Schopfenspitz - Gros Brun
Gabriel Untersander,3,Schofwisspitz;Lütispitz;Chrüzegg
Gebi Abächerli,3,Gross Sättelistock;Jänzi;Röti
Gianbattista Pron,3,Monte Gazzirola;Monte Tamaro;Monte Ferraro
Günther Bislin,3,Bölli;Tagweidlichopf;Roslen-Saxer First
Jan Sterren,3,Männlichen;Rothorn;Hällchöpfli
Johannes Engewald,3,Schwarzhorn;Falknis;Schwarzhorn
Juerg Wiedemann,3,Büel;Piz Danis;Vilan
Julien Christe,3,Dent de Valère;Saix de la Calaz;Le Pila
Jörg Mäder,3,Fulen;Nollen;Stockberg
Jürg Weber,3,Hinterhorn;Fliederhorn;Sunnighorn
Loïc Vallat,3,Tour d'Aï;Berneuse;Chaux de Tompey
Luca Coda,3,Pizzo di Corgella;Monte Bigorio;Moschera
Manuel Theler,3,Fülhorn;Folluhorn;Glishorn
Marcel Mock,3,Monte Gradiccioli;Tschingelflue;Cousimbert/Käsenberg
Marcel Schmid,3,Gross Spannort;Widderfeld;Matthorn
Marcel Weilenmann,3,Mattjisch Horn;Chlei Chrüz;Cimetta d'Orino
Marco Gähler,3,Fronalpstock;Dossen;Salmone
Marco Larcher,3,Muot da l'Hom;Stand;Tweralpspitz
Martin Kläger,3,Oberrothorn;Hohtälli;Piz Sarsura
Martin Moser,3,Stock;Hüenderegg;Engelstock
Martin de Nève,3,Ruchstock;Hasenstöck;Rot Dossen
Martins Sudars,3,Liskamm Westgipfel;Roccia Nera;Monte Niblè / Pointe Ferrand
Maurizio Bernasconi,3,Cima del Vallone;Cima Verta;Pizzo di Corbella
Noah Kiener,3,Steischlaghore;Pfaffen;Heitihubel
Pablito Cretton,3,Pointe d'Orny;Wängerhorn;Tournelle
Patrick Dünser,3,Tödi;Ringelspitz;Giübin
Patrick Plüss,3,Sunnenhöreli;Nüenchamm;Stöckli
Pavol Pivarci,3,Wissigstock;Flöschhore;Fronalpstock
Peter Widmer,3,Plattenhorn;Hörnli;Hülli
Philipp Steinger,3,Unterrothorn;Sass Queder;Piz Nair
Pipo Karrer,3,Glarner Tödi;Wildhauser Schafberg;Wildhauser Schafberg (Vorgipfel)
René Winkler,3,Fromattgrat;Gehrihorn;Albristhubel
Robin Houghton,3,Tête Blanche de By;Gumihorn;Daube
Ruben Meier,3,La Vuarette;Golitschenpass;Grammont
Sebastian Jungo,3,La Videmanette;Patraflon;Les Millets (Sommet est)
Steve Bramfitt,3,Schilthorn;Tschingel;Trogenhorn
Stöffel Fuhrmann,3,Schwalmere;Bällenhöchst;Rengghorn
